title,date,url,hotfix_counter,ranked_or_progression_changed,matchmaking_changed,new_mode,mode_removed,mode_changes,battlepass_or_event_added,cosmetics_added,new_map_or_variation,map_changes,modifiers_or_destruction_changes,bug_fixes,servers_changed,qol_additions,optimization_changes,buffs,nerfs,weapon_gadget_spec_added,gameplay_changes,weapon_gadget_spec_removed
Update 2.4.0,2024-04-10,https://www.reachthefinals.com/patchnotes/240,,1,1,,1,,1,1,,,,23,,5,6,,,,1,
Update 2.3.0,2024-04-04,https://www.reachthefinals.com/patchnotes/230,,,,,,3,,1,,,,3,,2,,,2,,,
Update 2.2.0,2024-03-27,https://www.reachthefinals.com/patchnotes/220,,1,,1,1,2,1,1,1,2,1,26,,3,4,9,7,,5,
Update 2.1.0,2024-03-20,https://www.reachthefinals.com/patchnotes/210,,,1,,,,,1,,2,,19,,3,5,,1,,3,
Update 2.0.0 | Season 2,2024-03-14,https://www.reachthefinals.com/patchnotes/200,,1,1,1,1,1,1,1,1,,1,31,,8,11,15,18,7,11,1
Update 1.11.0,2024-03-06,https://www.reachthefinals.com/patchnotes/1110,,,,,,,,1,,,,2,,,,,,,,
Update 1.10.0,2024-02-29,https://www.reachthefinals.com/patchnotes/1100,,,,1,,,1,1,1,,,7,,1,5,,,,2,
Update 1.9.0,2024-02-21,https://www.reachthefinals.com/patchnotes/190,,,,,,,,1,,,,1,,,1,,,,,
Update 1.8.0,2024-02-14,https://www.reachthefinals.com/patchnotes/180,,,,,1,,1,1,,1,,23,,3,5,,,,4,
Update 1.7.0,2024-02-08,https://www.reachthefinals.com/patchnotes/170,,1,,,,,,1,,,1,,,3,,,,,,
Mid-Season Update 1.6.0,2024-01-31,https://www.reachthefinals.com/patchnotes/160,1,1,,1,1,,,1,,15,,21,,8,10,4,2,,4,
Update 1.5.5,2024-01-24,https://www.reachthefinals.com/patchnotes/155,,,1,,,,,,,,,1,,,,5,6,,,
Update 1.5.0,2024-01-17,https://www.reachthefinals.com/patchnotes/150,1,1,,1,,5,,1,,4,,48,1,4,3,10,10,,7,
Hotfix 1.4.1,2024-01-11,https://www.reachthefinals.com/patchnotes/141,,,,,,,,,,,,1,,4,1,,,,,
Update 1.4.0,2023-12-20,https://www.reachthefinals.com/patchnotes/140,,,,,,1,,1,,1,2,7,,4,1,5,19,,3,
Update 1.3.0,2023-12-15,https://www.reachthefinals.com/patchnotes/130,,1,,,,,,,,,,4,1,1,,,,,1,
Release Patch Notes 1.2.0,2023-12-08,https://www.reachthefinals.com/patchnotes/120,3,1,1,,,,1,1,1,3,1,11,,7,,9,14,2,18,1
